,posted,neighborhood,listing_title,number_bedrooms,sqft,URL,price
445,2020-06-12 13:59, (Metro Villa-Maria),"1½, 2½ electricity,heating,hot water,fridge,stove included",,,https://montreal.craigslist.org/apa/d/montreal-1-2-electricityheatinghot/7133714747.html?lang=en&cc=us,0
446,2020-06-12 13:49, (métro Sherbrooke),4 1/2 sur plateau Mont-Royal,2,750,https://montreal.craigslist.org/apa/d/montreal-sur-plateau-mont-royal/7137917827.html?lang=en&cc=us,1210
447,2020-06-12 13:22, (Laval des Rapides),"Large 2 bedrm , 4 ½, Laval – Close to the metro  - with parking!",2,800,https://montreal.craigslist.org/apa/d/laval-large-2-bedrm-4-laval-close-to/7140528216.html?lang=en&cc=us,925
448,2020-06-13 01:42, (Centre-ville de Montréal),"3 bedroom luxury appartment downtown montreal, all-inclusive !!",3,,https://montreal.craigslist.org/apa/d/montreal-3-bedroom-luxury-appartment/7140890124.html?lang=en&cc=us,2900
449,2020-06-13 01:38, (Côte-des-Neiges),Visite virtuelle Appartement à louer NDG 3 1/2,1,,https://montreal.craigslist.org/apa/d/cte-des-neiges-north-visite-virtuelle/7140891286.html?lang=en&cc=us,975
450,2020-06-13 01:37, (côte-des-neiges/NDG),NDG 3 1/2 (one bedroom apartment) heating + hot water included.,1,,https://montreal.craigslist.org/apa/d/cte-des-neiges-north-ndg-one-bedroom/7140891094.html?lang=en&cc=us,950
451,2020-06-13 01:36, (Centre-ville de Montréal),"4 bedroom apartment, luxurious, furnished and all included!!",4,,https://montreal.craigslist.org/apa/d/montreal-4-bedroom-apartment-luxurious/7140889920.html?lang=en&cc=us,3700
452,2020-06-13 01:35, (Le Plateau Mont-Royal),"4 bedroom apartment, luxurious, furnished and all included!!",4,,https://montreal.craigslist.org/apa/d/ahuntsic-southeast-4-bedroom-apartment/7140890896.html?lang=en&cc=us,2800
453,2020-06-13 01:33, (Le Plateau Mont-Royal),3 bedrooms apartment for rent - Plateau Mont-Royal (virtual tour),3,,https://montreal.craigslist.org/apa/d/ahuntsic-southeast-3-bedrooms-apartment/7140890570.html?lang=en&cc=us,1950
454,2020-06-13 01:32, (Centre-ville de Montréal),2 bedroom apartment for rent downtown montreal ALL INCLUSIVE !!!,2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-for-rent/7140890338.html?lang=en&cc=us,2700
455,2020-06-13 01:27, (VILLE-MARIE),2 bedroom apartment for rent downtown montreal ALL INCLUSIVE !!!,2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-for-rent/7140889477.html?lang=en&cc=us,2350
456,2020-06-13 01:25, (VILLE-MARIE),"1 bedroom suite, downtown montreal, All Furnished and all inclusive!",1,,https://montreal.craigslist.org/apa/d/montreal-1-bedroom-suite-downtown/7140889233.html?lang=en&cc=us,675
457,2020-06-13 01:24, (Hochelaga Maisonneuve (HOMA)),VIRTUAL TOUR apartment for rent 4 1/2 in homa,2,,https://montreal.craigslist.org/apa/d/hochelaga-virtual-tour-apartment-for/7140889067.html?lang=en&cc=us,1675
458,2020-06-13 01:23, (Sainte Marthe sur le Lac),Sainte-Marthe-sur-le-lac HOUSE FOR RENT!,1,,https://montreal.craigslist.org/apa/d/rgion-doka-sainte-marthe-sur-le-lac/7140888818.html?lang=en&cc=us,1200
459,2020-06-13 01:21," (Plateau, Montreal)","Large 5 1/2, Ideal for students, Heart of the Plateau, New kitchen,w/d",3,1400,https://montreal.craigslist.org/apa/d/montreal-large-ideal-for-students-heart/7138804741.html?lang=en&cc=us,1850
460,2020-06-13 01:20, (Le Plateau Mont-Royal),2 bedroom apartment in Plateau Mont-Royal! WOW,2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-in-plateau/7140888454.html?lang=en&cc=us,1300
461,2020-06-13 01:14, (Le Gardeur),Appartement à louer Repentigny 4 ½,2,,https://montreal.craigslist.org/apa/d/repentigny-west-appartement-louer/7140887423.html?lang=en&cc=us,810
462,2020-06-13 00:51, (Cité Mirabel),New Condo (2 bedrooms) 4 ½ Cité Mirabel,2,,https://montreal.craigslist.org/apa/d/mirabel-northeast-new-condo-2-bedrooms/7140877564.html?lang=en&cc=us,1295
463,2020-06-13 00:47, (Montreal),Renovated studio for rent avail Jun 1 steps to Mcgill university,1,,https://montreal.craigslist.org/apa/d/montreal-renovated-studio-for-rent/7127503237.html?lang=en&cc=us,780
464,2020-06-13 00:29, (4186 st dominique),4 1/2 apt on 2 floors,,,https://montreal.craigslist.org/apa/d/montreal-apt-on-2-floors/7137380395.html?lang=en&cc=us,1800
465,2020-06-13 00:28, (montreal),1 bdr apartment for rent,1,700,https://montreal.craigslist.org/apa/d/montreal-1-bdr-apartment-for-rent/7134989884.html?lang=en&cc=us,1050
466,2020-06-13 00:28, (4066 st denis),1 1/2 for rent in the heart of the plateau,,,https://montreal.craigslist.org/apa/d/for-rent-in-the-heart-of-the-plateau/7134445128.html?lang=en&cc=us,775
467,2020-06-13 00:28, (Plateau),2 bdr in the heart of the plateau,2,800,https://montreal.craigslist.org/apa/d/montreal-2-bdr-in-the-heart-of-the/7130750858.html?lang=en&cc=us,1700
468,2020-06-13 00:23, (Montreal),3 1/2 Lease Transfer Mcgill Ghetto,1,,https://montreal.craigslist.org/apa/d/montreal-lease-transfer-mcgill-ghetto/7140876979.html?lang=en&cc=us,1247
469,2020-06-13 00:19, (Cité Mirabel),"New 1 bedroom condo (3 1/2) in Mirabel, new appliances included.",1,,https://montreal.craigslist.org/apa/d/mirabel-northeast-new-1-bedroom-condo/7140872268.html?lang=en&cc=us,1295
470,2020-06-12 23:57, (Laval),5 1/2 for rent or sale,3,,https://montreal.craigslist.org/apa/d/laval-for-rent-or-sale/7140870794.html?lang=en&cc=us,1275
471,2020-06-12 23:55, (Outremont),"Large sunny 4BR (3br plus smallguest room) washer/dryer,dishwash stainless",4,1400,https://montreal.craigslist.org/apa/d/large-sunny-4br-3br-plus-smallguest/7135565262.html?lang=en&cc=us,2210
472,2020-06-12 23:42, (Cote des neiges /NDG),Apartment for rent 4 ½ in NDG !,2,,https://montreal.craigslist.org/apa/d/cte-des-neiges-north-apartment-for-rent/7140863254.html?lang=en&cc=us,1200
473,2020-06-12 23:10, (Le Plateau Mont-Royal),Apartment for rent 3 ½ in Le Plateau Mont-Royal!,1,,https://montreal.craigslist.org/apa/d/plateau-mont-royal-north-apartment-for/7140857888.html?lang=en&cc=us,1095
474,2020-06-12 22:52, (Montreal Downtown),Drummond Phase 2 (metro station Peel) New Condo 3 1/2 to rent - $1650,1,,https://montreal.craigslist.org/apa/d/montreal-drummond-phase-2-metro-station/7140852308.html?lang=en&cc=us,1650
475,2020-06-12 22:47, (quartier des spectacles),Beautiful furnished 1-bedroom condo for rent in quartier des spectacle,1,750,https://montreal.craigslist.org/apa/d/montreal-beautiful-furnished-1-bedroom/7138760674.html?lang=en&cc=us,1795
476,2020-06-12 22:45, (Montreal),Drummond Phase 2 (metro station Peel) New Condo 3 1/2 to rent,1,560,https://montreal.craigslist.org/apa/d/montreal-drummond-phase-2-metro-station/7140850002.html?lang=en&cc=us,1650
477,2020-06-12 22:29," (Plateau, Downtown)",Furnished Gorgeous Condo in the Plateau - July 1,2,800,https://montreal.craigslist.org/apa/d/montreal-furnished-gorgeous-condo-in/7131125081.html?lang=en&cc=us,1500
478,2020-06-12 22:29, (plateau McGill),Studio (1 1/2) apartment at McGill Guetto,,,https://montreal.craigslist.org/apa/d/montreal-studio-apartment-at-mcgill/7140844921.html?lang=en&cc=us,750
479,2020-06-12 22:28, (plateau McGill),Furnished 2 bedrooms (4 1/2) apartment at McGill Ghetto,2,,https://montreal.craigslist.org/apa/d/montreal-furnished-2-bedrooms-apartment/7140844807.html?lang=en&cc=us,1200
480,2020-06-12 22:19, (Ville-Marie),Beau 51/2 - RDC - 3 chambres fermées tout équipées,3,1200,https://montreal.craigslist.org/apa/d/montreal-beau-rdc-3-chambres-fermes/7138342206.html?lang=en&cc=us,2100
481,2020-06-12 22:18, (Ville -Marie),Excellente RDC 3 chambres fermées.,3,,https://montreal.craigslist.org/apa/d/montreal-excellente-rdc-3-chambres/7139032213.html?lang=en&cc=us,2100
482,2020-06-12 21:53," (Town of mont royal, montreal)",Charming 500ft studio newly renovated/furnished,1,500,https://montreal.craigslist.org/apa/d/mont-royal-charming-500ft-studio-newly/7140832694.html?lang=en&cc=us,950
483,2020-06-12 21:34, (VILLERAY/ST-MICHEL/PARC-EXTENSION),SUPERB 4 1/2 FULLY RENOVATED UNFURNISHED FOR 950$/MONTH,2,750,https://montreal.craigslist.org/apa/d/montreal-superb-fully-renovated/7140825850.html?lang=en&cc=us,1195
484,2020-06-12 21:34, (Montreal),"Furnished 3 ½ Milton Gate, McGill Ghetto, Sept. 1st",1,567,https://montreal.craigslist.org/apa/d/montreal-furnished-3-milton-gate-mcgill/7140822166.html?lang=en&cc=us,1400
485,2020-06-12 21:12, (Pointe St-Charles),ALONG THE CANAL LACHINE – MODERN LOFT SEMI-CLOSED BR,1,850,https://montreal.craigslist.org/apa/d/pointe-saint-charles-along-the-canal/7140817120.html?lang=en&cc=us,1600
486,2020-06-12 21:11, (Le Sud-Ouest - Saint-Paul/Émard),2 BEDROOM CONDO WITH PARKING,2,784,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-condo-with-parking/7140813176.html?lang=en&cc=us,1500
487,2020-06-12 21:04, (PLATEAU MONT ROYAL),"STUDIO AT THE FRONT OF LAURIER SUBWAY STATION ,MONTHLY LEASE",,1,https://montreal.craigslist.org/apa/d/montreal-studio-at-the-front-of-laurier/7140814041.html?lang=en&cc=us,710
488,2020-06-12 21:01, (GRIFFINTOWN),SEMI-FURNISHED 2-BEDROOM CORNER WINDOWS AVAILABLE IMMEDIATELY,2,,https://montreal.craigslist.org/apa/d/montreal-semi-furnished-2-bedroom/7140812708.html?lang=en&cc=us,2200
489,2020-06-12 20:54, (VILLE-MARIE),SQUARE-VICTORIA-OACI METRO STATION: HUGE 4 1/2 FOR RENT !,2,1050,https://montreal.craigslist.org/apa/d/griffintown-square-victoria-oaci-metro/7140809668.html?lang=en&cc=us,3200
490,2020-06-12 20:53, (Old Montreal),Short term Rental in Old Montreal ** Monthly Rentals **,4,1800,https://montreal.craigslist.org/apa/d/montreal-short-term-rental-in-old/7140809420.html?lang=en&cc=us,2000
491,2020-06-12 20:52, (Longueuil),"Large, high-end housing",1,900,https://montreal.craigslist.org/apa/d/longueuil-large-high-end-housing/7140809166.html?lang=en&cc=us,1390
492,2020-06-12 20:52, (Longueuil),"Large, high-end housing",2,,https://montreal.craigslist.org/apa/d/longueuil-large-high-end-housing/7140809036.html?lang=en&cc=us,1600
493,2020-06-12 20:48, (Plateau Mont Royal),STUDIO ON PLATEAU CLOSE TO SUBWAY and McGill or Guy Concordia Universi,,,https://montreal.craigslist.org/apa/d/montreal-studio-on-plateau-close-to/7140807341.html?lang=en&cc=us,700
494,2020-06-12 20:45, (OUTREMONT),"OUTREMONT METRO - HUGE 3 BEDROOMS, 2 BATHROOMS, WITH OUTDOOR PARKING",3,1400,https://montreal.craigslist.org/apa/d/outremont-outremont-metro-huge-3/7140803182.html?lang=en&cc=us,2900
495,2020-06-12 20:41, (Plateau-Mont Royal),"4 bedroom, 6 1/2, $2,340.00 July 1, 2020",4,,https://montreal.craigslist.org/apa/d/montreal-4-bedroom-july/7140804377.html?lang=en&cc=us,2340
496,2020-06-12 20:27, (Old Montreal),CHARM OF OLD MONTREAL - Amazing LOFT fully furnished. (Recollets),,800,https://montreal.craigslist.org/apa/d/montreal-charm-of-old-montreal-amazing/7140798695.html?lang=en&cc=us,1750
497,2020-06-12 20:21, (VILLE-MARIE),VILLE-MARIE: ONE BEDROOM CONDO - COMPLETELY FURNISHED,1,,https://montreal.craigslist.org/apa/d/montreal-ville-marie-one-bedroom-condo/7140795934.html?lang=en&cc=us,1575
498,2020-06-12 20:19, (Plateau Mont Royal),FULLY EQUIPPED APARTMENT ON THE PLATEAU MONT ROYAL NEAR METRO LAURIER,1,1,https://montreal.craigslist.org/apa/d/montreal-fully-equipped-apartment-on/7140794954.html?lang=en&cc=us,990
499,2020-06-12 20:00," (Old Montreal, square victoria)","2 Story LOFT Exposed brich, rocks, beams, OLD MONTREAL",2,1000,https://montreal.craigslist.org/apa/d/montreal-2-story-loft-exposed-brich/7137984758.html?lang=en&cc=us,1900
500,2020-06-12 20:00, (Montreal),"Griffintown, Fully FURNISHED 1 bed, Pool + Gym, view",,,https://montreal.craigslist.org/apa/d/griffintown-griffintown-fully-furnished/7137976425.html?lang=en&cc=us,1650
501,2020-06-12 20:00, (Plateau Mont-Royal),"PENTHOUSE-1300pc PLATEAU, 2 cac, TERRACE PRIVEE",2,1300,https://montreal.craigslist.org/apa/d/montreal-penthouse-1300pc-plateau-2-cac/7137894683.html?lang=en&cc=us,4000
502,2020-06-12 19:51, (Ville-Marie),Superbe 3 1/2 à louer dans le YUL au centre-ville,1,,https://montreal.craigslist.org/apa/d/montreal-superbe-louer-dans-le-yul-au/7140778199.html?lang=en&cc=us,1790
503,2020-06-12 19:00, (CENTRE-VILLE),SUPERBE 3 1/2 NEUF + STATIONNEMENT INT. INCLUS,1,618,https://montreal.craigslist.org/apa/d/montreal-superbe-neuf-stationnement-int/7140756257.html?lang=en&cc=us,1650
504,2020-06-12 18:55, (PLATEAU MONT-ROYAL),"PLATEAU MONT-ROYAL: 1 BEDROOM, FULLY FURNISHED AND EQUIPPED CONDO",1,750,https://montreal.craigslist.org/apa/d/montreal-plateau-mont-royal-1-bedroom/7140753662.html?lang=en&cc=us,1900
505,2020-06-12 18:54, (Montreal),"3 1/3 Downtown Metro Atwater (POOL, GYM, BBQ)",1,,https://montreal.craigslist.org/apa/d/montreal-downtown-metro-atwater-pool/7140753066.html?lang=en&cc=us,1450
506,2020-06-12 18:53, (Montreal Plateau East),Pet Friendly 2 Bedroom - Plateau East,2,1000,https://montreal.craigslist.org/apa/d/montreal-pet-friendly-2-bedroom-plateau/7140752520.html?lang=en&cc=us,1400
507,2020-06-12 18:51, (Downtown),OPEN HOUSE,4,1000,https://montreal.craigslist.org/apa/d/downtown-montreal-south-west-open-house/7140747120.html?lang=en&cc=us,2200
508,2020-06-12 18:46, (QUERBES),6-1/2 FULLY FURNISHED AVAILABLE AUGUST IN OUTREMONT,4,,https://montreal.craigslist.org/apa/d/outremont-fully-furnished-available/7140748793.html?lang=en&cc=us,2350
509,2020-06-12 18:45, (LE PLATEAU),SPACIOUS 1 BEDROOM WITH INCREDIBLE MOUNTAIN VIEWS AND INDOOR PARKING.,1,1050,https://montreal.craigslist.org/apa/d/montreal-spacious-1-bedroom-with/7140748396.html?lang=en&cc=us,1695
510,2020-06-12 18:44, (Verdun),Renovated cozy 5 1/2 on 3rd floor Aug/ July,3,850,https://montreal.craigslist.org/apa/d/verdun-renovated-cozy-on-3rd-floor-aug/7131571723.html?lang=en&cc=us,1030
511,2020-06-12 18:38, (Montréal),REPRISE DE BAIL 1720 $ / LEASE TAKEOVER 1er étage 140 m2 duplex,4,,https://montreal.craigslist.org/apa/d/cte-des-neiges-southwest-reprise-de/7140744445.html?lang=en&cc=us,1720
512,2020-06-12 18:21, (MONTRÉAL),"►2½ Apts, Clean, Heated, Furnished, INTERNET,TV, Monthly",1,,https://montreal.craigslist.org/apa/d/montreal-2-apts-clean-heated-furnished/7129166365.html?lang=en&cc=us,850
513,2020-06-12 18:20, (Ville-Marie),Elegant STUDIO dans YUL centre-ville,,,https://montreal.craigslist.org/apa/d/montreal-elegant-studio-dans-yul-centre/7140734713.html?lang=en&cc=us,1250
514,2020-06-12 18:20, (montreal),"OLD MONTREAL 1BR condo, new!",1,450,https://montreal.craigslist.org/apa/d/montreal-old-montreal-1br-condo-new/7140734487.html?lang=en&cc=us,1495
515,2020-06-12 18:09, (Saint-Laurent),Saint-Laurent Deguire/Boulevard Jules-Jutras Bon deal 4 1/2 a louer D,2,,https://montreal.craigslist.org/apa/d/saint-laurent-saint-laurent-deguire/7134329118.html?lang=en&cc=us,1120
516,2020-06-12 18:05, (Notre-Dame-de-Grâce),Grand 4 1/2 - 2 ÉTAGES à louer dans NDG,3,,https://montreal.craigslist.org/apa/d/montreal-grand-tages-louer-dans-ndg/7140725875.html?lang=en&cc=us,1800
517,2020-06-12 18:03, (Griffintown),1 Bedroom Condo | For Rent | À Louer | Griffintown | July 1,1,700,https://montreal.craigslist.org/apa/d/montreal-1-bedroom-condo-for-rent-louer/7125427066.html?lang=en&cc=us,1600
518,2020-06-12 18:03, (Ville-Marie),Beautiful 1 Bedroom Condo | For Rent | Downtown,1,533,https://montreal.craigslist.org/apa/d/montreal-beautiful-1-bedroom-condo-for/7135976884.html?lang=en&cc=us,1600
519,2020-06-12 18:03, (Ville-Marie),Luxury Penthouse for Rent | Private Terrace | Downtown,1,1500,https://montreal.craigslist.org/apa/d/montreal-luxury-penthouse-for-rent/7135977900.html?lang=en&cc=us,5300
520,2020-06-12 18:03, (Montreal),Luxury 1 Bedroom Apartment | Downtown Mtl | For Rent | July 1,1,520,https://montreal.craigslist.org/apa/d/montreal-luxury-1-bedroom-apartment/7132598715.html?lang=en&cc=us,1725
521,2020-06-12 18:03, (Montreal),Luxury Apartment | 2 Bedrooms | Downtown Mtl | For Rent | August,2,781,https://montreal.craigslist.org/apa/d/montreal-luxury-apartment-2-bedrooms/7132597051.html?lang=en&cc=us,2650
522,2020-06-12 18:03, (Montreal),Luxury Apartment | 1 Bedroom | Downtown Mtl | For Rent | June,1,584,https://montreal.craigslist.org/apa/d/montreal-luxury-apartment-1-bedroom/7132595323.html?lang=en&cc=us,1895
523,2020-06-12 18:03, (Griffintown),1 Bedroom Condo | For Rent | À Louer | Griffintown | Corner Unit,1,500,https://montreal.craigslist.org/apa/d/montreal-1-bedroom-condo-for-rent-louer/7125425676.html?lang=en&cc=us,1700
524,2020-06-12 18:02, (Saint-Laurent),4½ All Furnished/Tout Inclus Ville Saint-Laurent,2,,https://montreal.craigslist.org/apa/d/saint-laurent-4-all-furnished-tout/7140723958.html?lang=en&cc=us,1650
525,2020-06-12 17:31, (St Henri),"Amazing Location, St. Henri , One Bedroom",1,550,https://montreal.craigslist.org/apa/d/montreal-amazing-location-st-henri-one/7140704880.html?lang=en&cc=us,1350
526,2020-06-12 17:27, (LACHINE west end MONTREAL),WATERFRONT FULLY FURNISHED 3.5 ROOMS*ALL INCLUSIVE*WiFi*FLEX TERMS,1,,https://montreal.craigslist.org/apa/d/lachine-waterfront-fully-furnished-35/7127186750.html?lang=en&cc=us,1475
527,2020-06-12 17:27, (Montreal west end),"WATERFRONT FULLY FURNISHED 2-BDR ALL INCLUSIVE, WiFI, SATELLITE TV",2,,https://montreal.craigslist.org/apa/d/lachine-waterfront-fully-furnished-2/7133923246.html?lang=en&cc=us,1700
528,2020-06-12 17:05, (200 St Jacques O.),"OLD MONTREAL - LARGE, BRIGHT STUDIO / LOFT APARTMENT",,722,https://montreal.craigslist.org/apa/d/montreal-old-montreal-large-bright/7135825146.html?lang=en&cc=us,1400
529,2020-06-12 17:05, (200 St Jacques O.),OLD MONTREAL - STUDIO / LOFT APARTMENT,,620,https://montreal.craigslist.org/apa/d/montreal-old-montreal-studio-loft/7135837987.html?lang=en&cc=us,1200
530,2020-06-12 17:00, (cote saint luc),"5885 Cavendish, apartement",1,778,https://montreal.craigslist.org/apa/d/cte-saint-luc-west-5885-cavendish/7140669946.html?lang=en&cc=us,1490
531,2020-06-12 16:42, (Downtown),Be Close to Everything in this Great Condo Downtown,1,550,https://montreal.craigslist.org/apa/d/montreal-be-close-to-everything-in-this/7140667374.html?lang=en&cc=us,1295
532,2020-06-12 16:21, (COTE-DES-NEIGES),"COMPLÈTEMENT RÉNOVÉ, PISCINE, SAUNA, COTE-DES-NEIGES",,,https://montreal.craigslist.org/apa/d/hampstead-compltement-rnov-piscine/7140659037.html?lang=en&cc=us,975
533,2020-06-12 16:18, (COTE-DES-NEIGES),"COMPLETEMENT RÉNOVÉ, STUDIO EN FACE D’UN PARC, PISCINE, SAUNA, METRO V",1,,https://montreal.craigslist.org/apa/d/montreal-completement-rnov-studio-en/7140657160.html?lang=en&cc=us,1125
534,2020-06-12 16:14, (COTE-DES-NEIGES),"COMPLETEMENT RÉNOVÉ, STUDIO EN FACE D’UN PARC, PISCINE, SAUNA, METRO V",,,https://montreal.craigslist.org/apa/d/notre-dame-de-grce-northeast/7140653998.html?lang=en&cc=us,925
535,2020-06-12 16:11, (Quartier latin),"Available now Studio for rent, includes all Quartier latin",,,https://montreal.craigslist.org/apa/d/montreal-available-now-studio-for-rent/7136736621.html?lang=en&cc=us,950
536,2020-06-12 16:10, (Quartier des Spectacles),(July 1st) Fully Furnished / 1 Bed Condo / Downtown Montreal,1,800,https://montreal.craigslist.org/apa/d/montreal-july-1st-fully-furnished-1-bed/7140651354.html?lang=en&cc=us,2100
537,2020-06-12 15:39, (Outremont/ Mildend),Large 3.5 in plex for 1095$ Avail 1st July,1,,https://montreal.craigslist.org/apa/d/outremont-large-35-in-plex-for-1095/7138324161.html?lang=en&cc=us,1095
538,2020-06-12 15:38, (Outremont),Large 4.5 Retouch in Outremont for 1395$,2,,https://montreal.craigslist.org/apa/d/outremont-large-45-retouch-in-outremont/7133970565.html?lang=en&cc=us,1395
